taxon,date,season,type,sample,process,sample.type,wet.mass,moisture,calc.dry.mass,temp,count
Polyxenida,2022-11-20,wet,soil,3,t,soil,,,,,0
Chordeumatida,2022-11-20,wet,soil,3,t,soil,,,,,0
Polydesmida,2022-11-20,wet,soil,3,t,soil,,,,,0
Spirobolida,2022-11-20,wet,soil,3,t,soil,,,,,0
Spirostreptida,2022-11-20,wet,soil,3,t,soil,,,,,0
other.diplopoda,2022-11-20,wet,soil,3,t,soil,,,,,0
Symphyla,2022-11-20,wet,soil,3,t,soil,,,,,3
Tetramerocerata,2022-11-20,wet,soil,3,t,soil,,,,,0
Isopoda,2022-11-20,wet,soil,3,t,soil,,,,,0
Amphipoda,2022-11-20,wet,soil,3,t,soil,,,,,0
Annelida,2022-11-20,wet,soil,3,t,soil,,,,,1
Gastropoda,2022-11-20,wet,soil,3,t,soil,,,,,0
Euonychophora,2022-11-20,wet,soil,3,t,soil,,,,,0
Unknown,2022-11-20,wet,soil,4,t,soil,,,,,0
Hymenoptera,2022-11-20,wet,soil,4,t,soil,,,,,84
Coleoptera,2022-11-20,wet,soil,4,t,soil,,,,,3
Hemiptera,2022-11-20,wet,soil,4,t,soil,,,,,41
Diptera,2022-11-20,wet,soil,4,t,soil,,,,,1
Blattodea,2022-11-20,wet,soil,4,t,soil,,,,,0
Thysanoptera,2022-11-20,wet,soil,4,t,soil,,,,,0
Psocoptera,2022-11-20,wet,soil,4,t,soil,,,,,0
Lepidoptera,2022-11-20,wet,soil,4,t,soil,,,,,0
Orthoptera,2022-11-20,wet,soil,4,t,soil,,,,,0
Trichoptera,2022-11-20,wet,soil,4,t,soil,,,,,0
Neuroptera,2022-11-20,wet,soil,4,t,soil,,,,,0
Zoraptera,2022-11-20,wet,soil,4,t,soil,,,,,0
Mecoptera,2022-11-20,wet,soil,4,t,soil,,,,,0
Dermaptera,2022-11-20,wet,soil,4,t,soil,,,,,0
Zygentoma,2022-11-20,wet,soil,4,t,soil,,,,,0
Embioptera,2022-11-20,wet,soil,4,t,soil,,,,,0
Archaeognatha,2022-11-20,wet,soil,4,t,soil,,,,,0
Protura,2022-11-20,wet,soil,4,t,soil,,,,,2
Diplura,2022-11-20,wet,soil,4,t,soil,,,,,1
Entomobryomorpha,2022-11-20,wet,soil,4,t,soil,,,,,5
Poduromorpha,2022-11-20,wet,soil,4,t,soil,,,,,0
Symphypleona,2022-11-20,wet,soil,4,t,soil,,,,,1
Oribatida,2022-11-20,wet,soil,4,t,soil,,,,,40
Mesostigmata,2022-11-20,wet,soil,4,t,soil,,,,,0
Trombidiformes,2022-11-20,wet,soil,4,t,soil,,,,,0
other.acari,2022-11-20,wet,soil,4,t,soil,,,,,3
Araneae,2022-11-20,wet,soil,4,t,soil,,,,,0
Opiliones,2022-11-20,wet,soil,4,t,soil,,,,,0
Scorpiones,2022-11-20,wet,soil,4,t,soil,,,,,0
Pseudoscorpiones,2022-11-20,wet,soil,4,t,soil,,,,,0
Ixodida,2022-11-20,wet,soil,4,t,soil,,,,,0
Ricinulei,2022-11-20,wet,soil,4,t,soil,,,,,0
Schizomida,2022-11-20,wet,soil,4,t,soil,,,,,0
Palpigradi,2022-11-20,wet,soil,4,t,soil,,,,,0
Chilopoda,2022-11-20,wet,soil,4,t,soil,,,,,0
Geophilomorpha,2022-11-20,wet,soil,4,t,soil,,,,,0
Lithobiomorpha,2022-11-20,wet,soil,4,t,soil,,,,,0
Scolopendromorpha,2022-11-20,wet,soil,4,t,soil,,,,,0
Scutigeromorpha,2022-11-20,wet,soil,4,t,soil,,,,,0
Diplopoda,2022-11-20,wet,soil,4,t,soil,,,,,1
Polyxenida,2022-11-20,wet,soil,4,t,soil,,,,,0
Chordeumatida,2022-11-20,wet,soil,4,t,soil,,,,,0
Polydesmida,2022-11-20,wet,soil,4,t,soil,,,,,0
Spirobolida,2022-11-20,wet,soil,4,t,soil,,,,,0
Spirostreptida,2022-11-20,wet,soil,4,t,soil,,,,,0
other.diplopoda,2022-11-20,wet,soil,4,t,soil,,,,,0
Symphyla,2022-11-20,wet,soil,4,t,soil,,,,,0
Tetramerocerata,2022-11-20,wet,soil,4,t,soil,,,,,0
Isopoda,2022-11-20,wet,soil,4,t,soil,,,,,1
Amphipoda,2022-11-20,wet,soil,4,t,soil,,,,,0
Annelida,2022-11-20,wet,soil,4,t,soil,,,,,0
Gastropoda,2022-11-20,wet,soil,4,t,soil,,,,,0
Euonychophora,2022-11-20,wet,soil,4,t,soil,,,,,0
Unknown,2022-11-20,wet,soil,5,t,soil,,,,,2
Hymenoptera,2022-11-20,wet,soil,5,t,soil,,,,,18
Coleoptera,2022-11-20,wet,soil,5,t,soil,,,,,23
Hemiptera,2022-11-20,wet,soil,5,t,soil,,,,,217
Diptera,2022-11-20,wet,soil,5,t,soil,,,,,2
Blattodea,2022-11-20,wet,soil,5,t,soil,,,,,3
Thysanoptera,2022-11-20,wet,soil,5,t,soil,,,,,
Psocoptera,2022-11-20,wet,soil,5,t,soil,,,,,
Lepidoptera,2022-11-20,wet,soil,5,t,soil,,,,,2
Orthoptera,2022-11-20,wet,soil,5,t,soil,,,,,
Trichoptera,2022-11-20,wet,soil,5,t,soil,,,,,
Neuroptera,2022-11-20,wet,soil,5,t,soil,,,,,
Zoraptera,2022-11-20,wet,soil,5,t,soil,,,,,
Mecoptera,2022-11-20,wet,soil,5,t,soil,,,,,
Dermaptera,2022-11-20,wet,soil,5,t,soil,,,,,
Zygentoma,2022-11-20,wet,soil,5,t,soil,,,,,
Embioptera,2022-11-20,wet,soil,5,t,soil,,,,,
Archaeognatha,2022-11-20,wet,soil,5,t,soil,,,,,
Protura,2022-11-20,wet,soil,5,t,soil,,,,,6
Diplura,2022-11-20,wet,soil,5,t,soil,,,,,8
Entomobryomorpha,2022-11-20,wet,soil,5,t,soil,,,,,52
Poduromorpha,2022-11-20,wet,soil,5,t,soil,,,,,3
Symphypleona,2022-11-20,wet,soil,5,t,soil,,,,,41
Oribatida,2022-11-20,wet,soil,5,t,soil,,,,,84
Mesostigmata,2022-11-20,wet,soil,5,t,soil,,,,,
Trombidiformes,2022-11-20,wet,soil,5,t,soil,,,,,
other.acari,2022-11-20,wet,soil,5,t,soil,,,,,72
Araneae,2022-11-20,wet,soil,5,t,soil,,,,,1
Opiliones,2022-11-20,wet,soil,5,t,soil,,,,,
Scorpiones,2022-11-20,wet,soil,5,t,soil,,,,,
Pseudoscorpiones,2022-11-20,wet,soil,5,t,soil,,,,,4
Ixodida,2022-11-20,wet,soil,5,t,soil,,,,,
Ricinulei,2022-11-20,wet,soil,5,t,soil,,,,,
Schizomida,2022-11-20,wet,soil,5,t,soil,,,,,
Palpigradi,2022-11-20,wet,soil,5,t,soil,,,,,3
Chilopoda,2022-11-20,wet,soil,5,t,soil,,,,,5
Geophilomorpha,2022-11-20,wet,soil,5,t,soil,,,,,
Lithobiomorpha,2022-11-20,wet,soil,5,t,soil,,,,,
Scolopendromorpha,2022-11-20,wet,soil,5,t,soil,,,,,
Scutigeromorpha,2022-11-20,wet,soil,5,t,soil,,,,,
Diplopoda,2022-11-20,wet,soil,5,t,soil,,,,,6
Polyxenida,2022-11-20,wet,soil,5,t,soil,,,,,
Chordeumatida,2022-11-20,wet,soil,5,t,soil,,,,,
Polydesmida,2022-11-20,wet,soil,5,t,soil,,,,,
Spirobolida,2022-11-20,wet,soil,5,t,soil,,,,,
Spirostreptida,2022-11-20,wet,soil,5,t,soil,,,,,
other.diplopoda,2022-11-20,wet,soil,5,t,soil,,,,,
Symphyla,2022-11-20,wet,soil,5,t,soil,,,,,4
Tetramerocerata,2022-11-20,wet,soil,5,t,soil,,,,,2
Isopoda,2022-11-20,wet,soil,5,t,soil,,,,,2
Amphipoda,2022-11-20,wet,soil,5,t,soil,,,,,
Annelida,2022-11-20,wet,soil,5,t,soil,,,,,
Gastropoda,2022-11-20,wet,soil,5,t,soil,,,,,
Euonychophora,2022-11-20,wet,soil,5,t,soil,,,,,
Unknown,2022-11-20,wet,soil,6,t,soil,,,,,
Hymenoptera,2022-11-20,wet,soil,6,t,soil,,,,,20
Coleoptera,2022-11-20,wet,soil,6,t,soil,,,,,12
Hemiptera,2022-11-20,wet,soil,6,t,soil,,,,,12
Diptera,2022-11-20,wet,soil,6,t,soil,,,,,8
Blattodea,2022-11-20,wet,soil,6,t,soil,,,,,
Thysanoptera,2022-11-20,wet,soil,6,t,soil,,,,,
Psocoptera,2022-11-20,wet,soil,6,t,soil,,,,,
Lepidoptera,2022-11-20,wet,soil,6,t,soil,,,,,
Orthoptera,2022-11-20,wet,soil,6,t,soil,,,,,
Trichoptera,2022-11-20,wet,soil,6,t,soil,,,,,
Neuroptera,2022-11-20,wet,soil,6,t,soil,,,,,
Zoraptera,2022-11-20,wet,soil,6,t,soil,,,,,
Mecoptera,2022-11-20,wet,soil,6,t,soil,,,,,
Dermaptera,2022-11-20,wet,soil,6,t,soil,,,,,
Zygentoma,2022-11-20,wet,soil,6,t,soil,,,,,
Embioptera,2022-11-20,wet,soil,6,t,soil,,,,,
Archaeognatha,2022-11-20,wet,soil,6,t,soil,,,,,
Protura,2022-11-20,wet,soil,6,t,soil,,,,,12
Diplura,2022-11-20,wet,soil,6,t,soil,,,,,
Entomobryomorpha,2022-11-20,wet,soil,6,t,soil,,,,,27
Poduromorpha,2022-11-20,wet,soil,6,t,soil,,,,,
Symphypleona,2022-11-20,wet,soil,6,t,soil,,,,,1
Oribatida,2022-11-20,wet,soil,6,t,soil,,,,,109
Mesostigmata,2022-11-20,wet,soil,6,t,soil,,,,,
Trombidiformes,2022-11-20,wet,soil,6,t,soil,,,,,
other.acari,2022-11-20,wet,soil,6,t,soil,,,,,50
Araneae,2022-11-20,wet,soil,6,t,soil,,,,,
Opiliones,2022-11-20,wet,soil,6,t,soil,,,,,
Scorpiones,2022-11-20,wet,soil,6,t,soil,,,,,
Pseudoscorpiones,2022-11-20,wet,soil,6,t,soil,,,,,
Ixodida,2022-11-20,wet,soil,6,t,soil,,,,,
Ricinulei,2022-11-20,wet,soil,6,t,soil,,,,,
Schizomida,2022-11-20,wet,soil,6,t,soil,,,,,
Palpigradi,2022-11-20,wet,soil,6,t,soil,,,,,
Chilopoda,2022-11-20,wet,soil,6,t,soil,,,,,
Geophilomorpha,2022-11-20,wet,soil,6,t,soil,,,,,
Lithobiomorpha,2022-11-20,wet,soil,6,t,soil,,,,,
Scolopendromorpha,2022-11-20,wet,soil,6,t,soil,,,,,
Scutigeromorpha,2022-11-20,wet,soil,6,t,soil,,,,,
Diplopoda,2022-11-20,wet,soil,6,t,soil,,,,,17
Polyxenida,2022-11-20,wet,soil,6,t,soil,,,,,
Chordeumatida,2022-11-20,wet,soil,6,t,soil,,,,,
Polydesmida,2022-11-20,wet,soil,6,t,soil,,,,,
Spirobolida,2022-11-20,wet,soil,6,t,soil,,,,,
Spirostreptida,2022-11-20,wet,soil,6,t,soil,,,,,
other.diplopoda,2022-11-20,wet,soil,6,t,soil,,,,,
Symphyla,2022-11-20,wet,soil,6,t,soil,,,,,2
Tetramerocerata,2022-11-20,wet,soil,6,t,soil,,,,,4
Isopoda,2022-11-20,wet,soil,6,t,soil,,,,,
Amphipoda,2022-11-20,wet,soil,6,t,soil,,,,,
Annelida,2022-11-20,wet,soil,6,t,soil,,,,,1
Gastropoda,2022-11-20,wet,soil,6,t,soil,,,,,
Euonychophora,2022-11-20,wet,soil,6,t,soil,,,,,
Unknown,2022-11-20,wet,soil,7,t,soil,,,,,2
Hymenoptera,2022-11-20,wet,soil,7,t,soil,,,,,30
Coleoptera,2022-11-20,wet,soil,7,t,soil,,,,,14
Hemiptera,2022-11-20,wet,soil,7,t,soil,,,,,58
Diptera,2022-11-20,wet,soil,7,t,soil,,,,,5
Blattodea,2022-11-20,wet,soil,7,t,soil,,,,,54
Thysanoptera,2022-11-20,wet,soil,7,t,soil,,,,,1
Psocoptera,2022-11-20,wet,soil,7,t,soil,,,,,
Lepidoptera,2022-11-20,wet,soil,7,t,soil,,,,,1
Orthoptera,2022-11-20,wet,soil,7,t,soil,,,,,
Trichoptera,2022-11-20,wet,soil,7,t,soil,,,,,
Neuroptera,2022-11-20,wet,soil,7,t,soil,,,,,
Zoraptera,2022-11-20,wet,soil,7,t,soil,,,,,
Mecoptera,2022-11-20,wet,soil,7,t,soil,,,,,
Dermaptera,2022-11-20,wet,soil,7,t,soil,,,,,
Zygentoma,2022-11-20,wet,soil,7,t,soil,,,,,
Embioptera,2022-11-20,wet,soil,7,t,soil,,,,,
Archaeognatha,2022-11-20,wet,soil,7,t,soil,,,,,
Protura,2022-11-20,wet,soil,7,t,soil,,,,,4
Diplura,2022-11-20,wet,soil,7,t,soil,,,,,5
Entomobryomorpha,2022-11-20,wet,soil,7,t,soil,,,,,45
Poduromorpha,2022-11-20,wet,soil,7,t,soil,,,,,9
Symphypleona,2022-11-20,wet,soil,7,t,soil,,,,,14
Oribatida,2022-11-20,wet,soil,7,t,soil,,,,,155
Mesostigmata,2022-11-20,wet,soil,7,t,soil,,,,,
Trombidiformes,2022-11-20,wet,soil,7,t,soil,,,,,
other.acari,2022-11-20,wet,soil,7,t,soil,,,,,89
Araneae,2022-11-20,wet,soil,7,t,soil,,,,,2
Opiliones,2022-11-20,wet,soil,7,t,soil,,,,,
Scorpiones,2022-11-20,wet,soil,7,t,soil,,,,,
Pseudoscorpiones,2022-11-20,wet,soil,7,t,soil,,,,,2
Ixodida,2022-11-20,wet,soil,7,t,soil,,,,,
Ricinulei,2022-11-20,wet,soil,7,t,soil,,,,,
Schizomida,2022-11-20,wet,soil,7,t,soil,,,,,
Palpigradi,2022-11-20,wet,soil,7,t,soil,,,,,
Chilopoda,2022-11-20,wet,soil,7,t,soil,,,,,1
Geophilomorpha,2022-11-20,wet,soil,7,t,soil,,,,,
Lithobiomorpha,2022-11-20,wet,soil,7,t,soil,,,,,
Scolopendromorpha,2022-11-20,wet,soil,7,t,soil,,,,,
Scutigeromorpha,2022-11-20,wet,soil,7,t,soil,,,,,
Diplopoda,2022-11-20,wet,soil,7,t,soil,,,,,4
Polyxenida,2022-11-20,wet,soil,7,t,soil,,,,,
Chordeumatida,2022-11-20,wet,soil,7,t,soil,,,,,
Polydesmida,2022-11-20,wet,soil,7,t,soil,,,,,
Spirobolida,2022-11-20,wet,soil,7,t,soil,,,,,
Spirostreptida,2022-11-20,wet,soil,7,t,soil,,,,,
